0	1.16419e-008	0	1.02346e-008
0.2	1.47222e-008	0.2	1.29051e-008
0.4	1.8781e-008	0.4	1.64011e-008
0.6	2.42193e-008	0.6	2.10454e-008
0.8	3.16561e-008	0.8	2.7323e-008
1	4.20882e-008	1	3.59867e-008
1.2	5.72085e-008	1.2	4.82467e-008
1.4	8.01015e-008	1.4	6.61291e-008
1.6	1.16967e-007	1.6	9.31652e-008
1.8	1.82215e-007	1.8	1.35663e-007
2	3.18303e-007	2	2.04427e-007
2.2	7.26454e-007	2.2	3.14231e-007
2.4	3.18515e-006	2.4	4.5709e-007
2.6	4.2371e-006	2.6	5.44134e-007
2.8	5.17305e-006	2.8	6.39835e-007
3	6.22313e-006	3	7.4939e-007
3.2	7.42849e-006	3.2	8.74928e-007
3.4	8.81456e-006	3.4	1.01841e-006
3.6	1.04038e-005	3.6	1.18186e-006
3.8	1.2218e-005	3.8	1.36733e-006
4	1.42792e-005	4	1.57695e-006
